commit	accuracy	cadence	test_nll	training_records	status	description
591432f	0.7080	0:342,1:137,2:18,3:2,4:1	0.109	2301	keep	v3 baseline reasoning-in-tool-call, LR≈5e-4, lora_rank=32, 1 epoch
c7397e5	0.7080	0:377,1:98,2:21,3:4	0.107	2301	discard	0001 lr-1p5e4: dropped LR to 1.5e-4, no change vs v3 baseline
11d2b5d	0.7360	0:138,1:250,2:102,3:10	0.270	2301	keep	0002 drop-reasoning-arg: reverted to v1 message-only tool args, +2.8pp vs v3
a4aa049	0.7180	0:287,1:175,2:35,3:3	0.278	2301	discard	0003 lr-1p5e4 on message-only: LR drop hurts in this format too
549e967	0.7020	0:432,1:45,2:19,3:4	0.231	3301	discard	0004 mix-1k-pure-math: cadence collapsed (86% 0-calls); pure-math fraction too high
8952548	0.7280	0:169,1:222,2:100,3:8,4:1	0.271	2301	discard	0005 lora-rank-8: smaller rank slightly worse than 0002 rank-32
4b71509	0.7280	0:138,1:258,2:97,3:7	0.260	2216	discard	0006 filter-short-thinking: min 4000 chars dropped only 3.5%; no effect
ca90f2c	0.7100	0:481,1:17,2:2	0.288	700	discard	0007 subsample-800: cadence collapsed (96% 0-calls); too few records
fd7bc1e	0.7040	0:178,1:209,2:93,3:20	0.203	2301	discard	0008 epochs-2: overfits (NLL 0.20) but accuracy drops
d966768	0.7160	0:479,1:20,2:1	0.199	2301	discard	0009 sparser-teacher: cadence collapsed (96% 0-calls); too few tool examples
7af609f	0.7020	0:218,1:250,2:32	0.243	2302	discard	0010 mid-cadence-teacher: training 100% tool-using but eval cadence drifts to 44% 0-calls
7c80263	0.7400	0:145,1:237,2:110,3:8	0.239	2302	keep	0011 rename-checkpoint: tool name + self-bookkeeping framing; +0.4pp vs 0002
a25b642	0.7240	0:138,1:213,2:140,3:9	0.239	2302	discard	0012 lora-rank-16: 16 underperforms 32 by 1.6pp
56e8953	0.7320	0:142,1:222,2:128,3:8	0.239	2302	discard	0013 lora-rank-64: rank 64 worse than 32; rank peaks at 32
cf4b06c	0.7100	0:134,1:279,2:79,3:8	0.234	1778	discard	0014 filter-8k: 22% dropped, accuracy regressed 3pp
ff82890	0.7220	0:180,1:218,2:101,3:1	0.239	2302	discard	0015 stronger-self-bookkeeping: too aggressive framing; 0011 mid-level is sweet spot
4c8590e	0.7080	0:155,1:215,2:119,3:11	0.238	2302	discard	0016 system-prompt-directive: explicit cadence directive regressed 3pp
d633ad9	0.7380	0:174,1:219,2:95,3:12	0.252	4687	discard	0017 larger-dataset: 2x records (4787 SFT) didn't move accuracy; 0.74 ceiling is structural
ae2d2cc	0.6580	0:4,2:2,3:149,4:256,5:66,6:10,7:3,8:10	0.225	4687	discard	0018 mask-thinking: cadence exploded to 4-call median; -8.2pp
b109c68	0.7060	0:149,1:254,2:87,3:10	-	2302	discard	0019 early-stop-step-80: 0011 mid-training checkpoint underperforms final (0.706 vs 0.740)
cd53c55	0.7740	0:224,1:203,2:35,3:15,4:6,5:2,6:5,8:10	-	0	keep	0020 prompt-only no-SFT BEATS all SFT (0.774 > 0.740); MAJOR result
613a6af	0.7640	0:287,1:131,2:30,3:14,4:13,5:3,6:3,7:3,8:16	-	0	discard	0021 minimal-description prompt-only: shorter desc hurts (0.764 < 0020 0.774)
6545d41	0.7920	0:395,1:57,2:33,3:3,4:6,5:2,6:1,8:2,10:1	-	0	keep	0022 prompt-only + sparing system prompt: +1.8pp over 0020; new best at 0.7920
